"SEQ_NO","ALL_KWRD_RANK_CO","SRCHWRD_NM","UPPER_CTGRY_NM","LWPRT_CTGRY_NM","CNTT_NM","COUNTRY_NM","MOBILE_SCCNT_VALUE","PC_SCCNT_VALUE","SCCNT_SM_VALUE","SCCNT_DE"
"1781","1","일본여행","여행","해외여행","아시아","일본","274","770","1044","20210216"
"1782","2","베트남여행","여행","해외여행","아시아","베트남","105","425","530","20210216"
"1783","3","하와이여행","여행","해외여행","북아메리카","미국","93","297","390","20210216"
"1784","4","미국여행","여행","해외여행","북아메리카","미국","71","289","360","20210216"
"1785","5","대만여행","여행","해외여행","아시아","대만","97","258","355","20210216"
"1786","6","태국여행","여행","해외여행","아시아","태국","81","230","311","20210216"
"1787","7","스위스여행","여행","해외여행","유럽","스위스","57","244","301","20210216"
"1788","8","괌여행","여행","해외여행","오세아니아","미국","70","175","245","20210216"
"1789","9","터키여행","여행","해외여행","유럽","터키","36","187","223","20210216"
"1790","10","발리여행","여행","해외여행","아시아","인도네시아","48","171","219","20210216"
